 Iteration   Func-count     min f(x)         Procedure
   700         1590          3.93963         contract inside
   701         1592          3.93963         contract outside
   702         1594          3.93963         contract inside
   703         1596          3.93963         contract inside
   704         1598          3.93963         contract outside
   705         1600          3.93963         contract inside
 
Optimization terminated:
 the current x satisfies the termination criteria using OPTIONS.TolX of 1.000000e-04 
 and F(X) satisfies the convergence criteria using OPTIONS.TolFun of 1.000000e-04 
